web-scraper-order,web-scraper-start-url,fandom,relationship,title,datetime,kudos,rating,warnings,tags
"1715628144-2435","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=29&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Soccer RPF","Ashlyn Harris/Ali Krieger","Happy Birthday Ali Krieger","28 Jul 2017","","","",""
"1715628144-2436","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=29&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Soccer RPF","Ashlyn Harris/Ali Krieger","Happy Birthday Ali Krieger","","131","","",""
"1715628144-2437","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=29&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Soccer RPF","Ashlyn Harris/Ali Krieger","Happy Birthday Ali Krieger","","","General Audiences","",""
"1715628144-2438","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=29&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Soccer RPF","Ashlyn Harris/Ali Krieger","Happy Birthday Ali Krieger","","","","No Archive Warnings Apply",""
"1715628144-2439","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=29&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Soccer RPF","Ashlyn Harris/Ali Krieger","Happy Birthday Ali Krieger","","","","","Krashlyn - Freeform"
"1715628144-2440","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=29&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Soccer RPF","Ashlyn Harris/Ali Krieger","Happy Birthday Ali Krieger","","","","","A Team"
"1715628144-2441","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=29&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Soccer RPF","Ashlyn Harris/Ali Krieger","Happy Birthday Ali Krieger","","","","","USWNT"
"1715628144-2442","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=29&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","USWNT - Fandom","Tobin Heath/Alex Morgan","Steal my girl...","04 Aug 2015","","","",""
"1715628144-2443","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=29&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","USWNT - Fandom","Tobin Heath/Alex Morgan","Steal my girl...","","131","","",""
"1715628144-2444","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=29&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","USWNT - Fandom","Tobin Heath/Alex Morgan","Steal my girl...","","","Not Rated","",""
"1715628144-2445","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=29&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","USWNT - Fandom","Tobin Heath/Alex Morgan","Steal my girl...","","","","Creator Chose Not To Use Archive Warnings",""
"1715628144-2446","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=29&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","USWNT - Fandom","Tobin Heath/Alex Morgan","Steal my girl...","","","","","Alternate Universe - High School"
"1715628144-2447","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=29&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","USWNT - Fandom","Tobin Heath/Alex Morgan","Steal my girl...","","","","","One Shot"
"1715628144-2448","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=29&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Soccer RPF","Ashlyn Harris/Ali Krieger","Princess in Training","11 Jan 2016","","","",""
"1715628144-2449","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=29&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Soccer RPF","Ashlyn Harris/Ali Krieger","Princess in Training","","130","","",""
"1715628144-2450","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=29&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Soccer RPF","Ashlyn Harris/Ali Krieger","Princess in Training","","","General Audiences","",""
"1715628144-2451","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=29&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Soccer RPF","Ashlyn Harris/Ali Krieger","Princess in Training","","","","No Archive Warnings Apply",""
"1715628144-2452","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=29&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Soccer RPF","Ashlyn Harris/Ali Krieger","We Meet Again","09 May 2015","","","",""
"1715628144-2453","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=29&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Soccer RPF","Ashlyn Harris/Ali Krieger","We Meet Again","","130","","",""
"1715628144-2454","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=29&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Soccer RPF","Ashlyn Harris/Ali Krieger","We Meet Again","","","Mature","",""
"1715628144-2455","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=29&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Soccer RPF","Ashlyn Harris/Ali Krieger","We Meet Again","","","","No Archive Warnings Apply",""
"1715628144-2456","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=29&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Soccer RPF","Ashlyn Harris/Ali Krieger","Coming Out","12 Oct 2018","","","",""
"1715628144-2457","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=29&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Soccer RPF","Ashlyn Harris/Ali Krieger","Coming Out","","129","","",""
"1715628144-2458","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=29&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Soccer RPF","Ashlyn Harris/Ali Krieger","Coming Out","","","Not Rated","",""
"1715628144-2459","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=29&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Soccer RPF","Ashlyn Harris/Ali Krieger","Coming Out","","","","No Archive Warnings Apply",""
"1715628144-2460","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=29&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Soccer RPF","Ashlyn Harris/Ali Krieger","Coming Out","","","","","listen i needed this today"
"1715628144-2461","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=29&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Soccer RPF","Ashlyn Harris/Ali Krieger","Coming Out","","","","","so I said fuck it"
"1715628144-2462","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=29&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Soccer RPF","Ashlyn Harris/Ali Krieger","Coming Out","","","","","and wrote what I wanted so here it is"
"1715628144-2463","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=29&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Soccer RPF","Ashlyn Harris/Ali Krieger","Something New","20 Sep 2016","","","",""
"1715628144-2464","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=29&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Soccer RPF","Ashlyn Harris/Ali Krieger","Something New","","129","","",""
"1715628144-2465","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=29&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Soccer RPF","Ashlyn Harris/Ali Krieger","Something New","","","General Audiences","",""
"1715628144-2466","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=29&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Soccer RPF","Ashlyn Harris/Ali Krieger","Something New","","","","No Archive Warnings Apply",""
"1715628144-2467","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=29&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Soccer RPF","Ashlyn Harris/Ali Krieger","National Dog Day","28 Aug 2016","","","",""
"1715628144-2468","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=29&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Soccer RPF","Ashlyn Harris/Ali Krieger","National Dog Day","","129","","",""
"1715628144-2469","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=29&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Soccer RPF","Ashlyn Harris/Ali Krieger","National Dog Day","","","Not Rated","",""
"1715628144-2470","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=29&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Soccer RPF","Ashlyn Harris/Ali Krieger","National Dog Day","","","","No Archive Warnings Apply",""
"1715628144-2471","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=29&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Soccer RPF","Ashlyn Harris/Ali Krieger","Handcuffed","26 Jan 2016","","","",""
"1715628144-2472","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=29&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Soccer RPF","Ashlyn Harris/Ali Krieger","Handcuffed","","129","","",""
"1715628144-2473","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=29&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Soccer RPF","Ashlyn Harris/Ali Krieger","Handcuffed","","","Teen And Up Audiences","",""
"1715628144-2474","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=29&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Soccer RPF","Ashlyn Harris/Ali Krieger","Handcuffed","","","","No Archive Warnings Apply",""
"1715628144-2475","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=29&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Soccer RPF","Ashlyn Harris/Ali Krieger","Handcuffed","","","","Graphic Depictions Of Violence",""
"1715628144-2476","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=29&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Soccer RPF","Ashlyn Harris/Ali Krieger","Handcuffed","","","","","Bank Robbery"
"1715628144-2477","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=29&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Soccer RPF","Ashlyn Harris/Ali Krieger","Handcuffed","","","","","Hostage Situations"
"1715628144-2478","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=29&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Soccer RPF","Ashlyn Harris/Ali Krieger","Handcuffed","","","","","Action"
"1715628144-2479","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=29&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Soccer RPF","Ashlyn Harris/Ali Krieger","Handcuffed","","","","","Gun Violence"
"1715628144-2480","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=29&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Soccer RPF","Ashlyn Harris/Ali Krieger","Handcuffed","","","","","Complete"
